epoch,learning_rate,loss,raw_assignment_accuracy,val_loss,val_raw_assignment_accuracy
0,0.003000000026077032,0.5741645693778992,0.4971748888492584,0.9388381838798523,0.5110920071601868
1,0.003000000026077032,0.5531557202339172,0.5051063895225525,0.9226805567741394,0.5198421478271484
2,0.003000000026077032,0.5499892234802246,0.5055838227272034,0.9432983994483948,0.51136314868927
3,0.003000000026077032,0.5480625629425049,0.506585955619812,0.9335628151893616,0.5151734352111816
4,0.003000000026077032,0.5480758547782898,0.5072683095932007,0.939501941204071,0.5157908797264099
5,0.003000000026077032,0.5466676950454712,0.5074304342269897,0.9336034655570984,0.5178843140602112
6,0.001500000013038516,0.5427886247634888,0.5082637071609497,0.9415678381919861,0.513004720211029
7,0.001500000013038516,0.5420389771461487,0.5097702741622925,0.9325562715530396,0.5251133441925049
8,0.001500000013038516,0.5421998500823975,0.5102003812789917,0.9433369040489197,0.5141192078590393
9,0.001500000013038516,0.5428413152694702,0.5095788836479187,0.9365007877349854,0.516528844833374
10,0.000750000006519258,0.5396925210952759,0.5110246539115906,0.9294056296348572,0.5221163034439087
11,0.000750000006519258,0.5398471355438232,0.5106620788574219,0.9385931491851807,0.5181854963302612
