epoch,learning_rate,loss,raw_assignment_accuracy,val_loss,val_raw_assignment_accuracy
0,0.0010000000474974513,0.6030779480934143,0.48731115460395813,0.9599166512489319,0.5080799460411072
1,0.0010000000474974513,0.5626062750816345,0.5053181052207947,0.9447359442710876,0.508064866065979
2,0.0010000000474974513,0.5544166564941406,0.5065904855728149,0.948714017868042,0.5085166692733765
3,0.0010000000474974513,0.5503304600715637,0.5078403353691101,0.9406563639640808,0.5177487730979919
4,0.0010000000474974513,0.547696053981781,0.5079776644706726,0.9425235986709595,0.5146914720535278
5,0.0010000000474974513,0.5461661219596863,0.5090653896331787,0.9392634034156799,0.5156704187393188
6,0.0010000000474974513,0.5455131530761719,0.5080745220184326,0.9339489936828613,0.5200379490852356
7,0.0010000000474974513,0.5454908609390259,0.5082727074623108,0.9381554126739502,0.517869234085083
8,0.0010000000474974513,0.5452573895454407,0.5087591409683228,0.9466736912727356,0.5075528025627136
9,0.0010000000474974513,0.5446230173110962,0.5094369649887085,0.9426689147949219,0.5137727856636047
10,0.0010000000474974513,0.5445003509521484,0.5095630884170532,0.944252073764801,0.5094655156135559
11,0.0005000000237487257,0.5423243641853333,0.5105787515640259,0.9392129182815552,0.5145559310913086
12,0.0005000000237487257,0.5420786142349243,0.510671079158783,0.9379655718803406,0.5184565782546997
13,0.0005000000237487257,0.5425224304199219,0.510114848613739,0.9348219633102417,0.5200982093811035
14,0.0005000000237487257,0.5422571301460266,0.5104886889457703,0.936046838760376,0.5207909941673279
15,0.0002500000118743628,0.5408021211624146,0.5124614238739014,0.9324571490287781,0.5219205021858215
16,0.0002500000118743628,0.5402523279190063,0.5119704604148865,0.9321842789649963,0.5221313834190369
17,0.0002500000118743628,0.5408793687820435,0.5115132927894592,0.9342959523200989,0.5206855535507202
18,0.0002500000118743628,0.5404199957847595,0.5118646025657654,0.9342334866523743,0.522071123123169
19,0.0002500000118743628,0.5405380725860596,0.5124118328094482,0.9313468933105469,0.5229295492172241
20,0.0002500000118743628,0.5406476855278015,0.5115628838539124,0.936240553855896,0.5214084386825562
21,0.0002500000118743628,0.5403397679328918,0.5112408399581909,0.9333100318908691,0.521830141544342
22,0.0002500000118743628,0.5406250357627869,0.5109277963638306,0.9372982978820801,0.5205801129341125
23,0.0002500000118743628,0.5407470464706421,0.5110381245613098,0.9345497488975525,0.5215590596199036
24,0.0001250000059371814,0.53969806432724,0.5119457244873047,0.9294698238372803,0.5232006311416626
25,0.0001250000059371814,0.5400068759918213,0.5109503269195557,0.9298387169837952,0.5230349898338318
26,0.0001250000059371814,0.5401325821876526,0.5110178589820862,0.9279286861419678,0.5238482356071472
27,0.0001250000059371814,0.5398959517478943,0.5118330717086792,0.9309797883033752,0.5236825942993164
28,0.0001250000059371814,0.5401597619056702,0.5120425224304199,0.9301393628120422,0.5241193175315857
29,0.0001250000059371814,0.5399391651153564,0.5117227435112,0.9307722449302673,0.5239385962486267
30,0.0001250000059371814,0.5402840375900269,0.5109323263168335,0.9330272674560547,0.5213934183120728
31,6.25000029685907e-05,0.5399247407913208,0.5113039016723633,0.9301198720932007,0.5215439796447754
32,6.25000029685907e-05,0.5398381948471069,0.5108399987220764,0.9289560914039612,0.5230952501296997
33,6.25000029685907e-05,0.539865255355835,0.5106237530708313,0.928447961807251,0.5231253504753113
34,6.25000029685907e-05,0.5392743349075317,0.5112858414649963,0.9281689524650574,0.5229747295379639
35,3.125000148429535e-05,0.5400720238685608,0.5114277601242065,0.9280436038970947,0.5235922336578369
36,3.125000148429535e-05,0.5393650531768799,0.5126415491104126,0.9281049966812134,0.5234115123748779
