epoch,learning_rate,loss,raw_assignment_accuracy,val_loss,val_raw_assignment_accuracy
0,0.0003000000142492354,0.610633909702301,0.48696884512901306,0.9582560062408447,0.516348123550415
1,0.0003000000142492354,0.5686599612236023,0.5058968663215637,0.9546210765838623,0.5169806480407715
2,0.0003000000142492354,0.5600392818450928,0.5091014504432678,0.9494073987007141,0.5182608366012573
3,0.0003000000142492354,0.5558251738548279,0.5105494856834412,0.9470008611679077,0.5046311020851135
4,0.0003000000142492354,0.5521956086158752,0.5112745761871338,0.942404568195343,0.5073570609092712
5,0.0003000000142492354,0.5492597818374634,0.5122789740562439,0.9419238567352295,0.5129294395446777
6,0.0003000000142492354,0.5473394989967346,0.5128419995307922,0.9452363848686218,0.5167999267578125
7,0.0003000000142492354,0.5453008413314819,0.5122587084770203,0.9373388886451721,0.5200831294059753
8,0.0003000000142492354,0.5435169339179993,0.5127428770065308,0.9393017292022705,0.5225982069969177
9,0.0003000000142492354,0.5423212647438049,0.5137810707092285,0.9375692009925842,0.5215891599655151
10,0.0003000000142492354,0.5414384603500366,0.5135694146156311,0.937304675579071,0.5198421478271484
11,0.0003000000142492354,0.5402399301528931,0.5132113099098206,0.9344056248664856,0.5210018157958984
12,0.0003000000142492354,0.5394670963287354,0.5137900710105896,0.933793842792511,0.5197668671607971
13,0.0003000000142492354,0.5390424728393555,0.5127496719360352,0.9326056838035583,0.5118601322174072
14,0.0003000000142492354,0.5379210710525513,0.5138508677482605,0.9325850009918213,0.519390344619751
15,0.0003000000142492354,0.5376749634742737,0.5135266184806824,0.932796061038971,0.5232458114624023
16,0.0003000000142492354,0.5370966196060181,0.5141211152076721,0.9342982172966003,0.5195409655570984
17,0.0003000000142492354,0.536609411239624,0.5137315392494202,0.9342275857925415,0.5185017585754395
18,0.0001500000071246177,0.5354869365692139,0.5139004588127136,0.9290706515312195,0.518727719783783
19,0.0001500000071246177,0.5349248051643372,0.5133171677589417,0.9287557601928711,0.5218000411987305
20,0.0001500000071246177,0.5347962975502014,0.515274167060852,0.9300084114074707,0.5239084959030151
21,0.0001500000071246177,0.5342655777931213,0.5154114961624146,0.9279698729515076,0.5216946005821228
