epoch,learning_rate,loss,raw_assignment_accuracy,val_loss,val_raw_assignment_accuracy
0,0.0010000000474974513,0.6073792576789856,0.4849645793437958,0.953524112701416,0.5131703615188599
1,0.0010000000474974513,0.5634021162986755,0.5037642121315002,0.9431286454200745,0.5183812975883484
2,0.0010000000474974513,0.5551242232322693,0.5070701241493225,0.9456132650375366,0.5087275505065918
3,0.0010000000474974513,0.550646960735321,0.5084866285324097,0.9411849975585938,0.5075076222419739
4,0.0010000000474974513,0.5474869012832642,0.5094369649887085,0.939704179763794,0.5034865140914917
5,0.0010000000474974513,0.5452315211296082,0.5093964338302612,0.9339826703071594,0.5169053673744202
6,0.0010000000474974513,0.5430732369422913,0.5098851323127747,0.934628427028656,0.5199174880981445
7,0.0010000000474974513,0.5418617725372314,0.5105922222137451,0.9318201541900635,0.5216645002365112
8,0.0010000000474974513,0.5410228371620178,0.5103850960731506,0.9320924878120422,0.5221765637397766
9,0.0010000000474974513,0.5400598645210266,0.5099459290504456,0.9367637038230896,0.5177637934684753
10,0.0010000000474974513,0.5395174622535706,0.5106192827224731,0.9350055456161499,0.5161222219467163
11,0.0010000000474974513,0.5387420654296875,0.5111552476882935,0.9379468560218811,0.5127938389778137
12,0.0005000000237487257,0.5367245674133301,0.5110021233558655,0.9329044818878174,0.5224325656890869
13,0.0005000000237487257,0.5365698337554932,0.512065052986145,0.9362285137176514,0.5205199122428894
14,0.0005000000237487257,0.5362507104873657,0.5111057162284851,0.933731198310852,0.5215590596199036
15,0.0005000000237487257,0.5360323190689087,0.5119344592094421,0.935806393623352,0.520007848739624
16,0.0002500000118743628,0.5347468852996826,0.5123780965805054,0.9291295409202576,0.5245561003684998
17,0.0002500000118743628,0.5349845290184021,0.512161910533905,0.9307898283004761,0.5240139365196228
18,0.0002500000118743628,0.5349156260490417,0.511828601360321,0.9296450018882751,0.5253844261169434
19,0.0002500000118743628,0.5343993902206421,0.5133351683616638,0.9290453195571899,0.5243151187896729
20,0.0002500000118743628,0.5343779921531677,0.5132631063461304,0.9277006983757019,0.5243000388145447
21,0.0002500000118743628,0.5345084071159363,0.5118398666381836,0.9291775226593018,0.5242548584938049
22,0.0002500000118743628,0.5342077016830444,0.5121258497238159,0.9320973753929138,0.5236524939537048
23,0.0002500000118743628,0.5339950919151306,0.5123082995414734,0.9280611276626587,0.5254145264625549
24,0.0002500000118743628,0.5339534282684326,0.5133959650993347,0.9281046390533447,0.5256555080413818
25,0.0001250000059371814,0.5333012938499451,0.5123465657234192,0.9226945638656616,0.5265440940856934
26,0.0001250000059371814,0.5332465767860413,0.5129815936088562,0.9243631362915039,0.5259717702865601
27,0.0001250000059371814,0.5332210659980774,0.5129815936088562,0.9239494204521179,0.5260018706321716
28,0.0001250000059371814,0.5330120325088501,0.5132923722267151,0.9229925274848938,0.5264386534690857
29,0.0001250000059371814,0.5331923365592957,0.51336669921875,0.9249563217163086,0.5261976718902588
30,6.25000029685907e-05,0.5330216884613037,0.5127068758010864,0.9232146143913269,0.5264989137649536
31,6.25000029685907e-05,0.5331769585609436,0.5116934776306152,0.9223809838294983,0.5273874402046204
32,6.25000029685907e-05,0.5328620672225952,0.5127001404762268,0.9237314462661743,0.5265892744064331
33,6.25000029685907e-05,0.5330916047096252,0.5131077170372009,0.9237507581710815,0.5259265899658203
34,6.25000029685907e-05,0.5326923727989197,0.5124614238739014,0.9235931634902954,0.527372419834137
35,6.25000029685907e-05,0.5329300761222839,0.5139116644859314,0.9233829975128174,0.5264235734939575
36,3.125000148429535e-05,0.5328654050827026,0.5127068758010864,0.9236037731170654,0.5264386534690857
37,3.125000148429535e-05,0.532568633556366,0.512954592704773,0.9230902791023254,0.5273874402046204
38,3.125000148429535e-05,0.5327004790306091,0.5129207968711853,0.9236151576042175,0.5269055366516113
39,3.125000148429535e-05,0.5326038599014282,0.5127294063568115,0.9235178232192993,0.5262428522109985
40,1.5625000742147677e-05,0.532678484916687,0.5124433636665344,0.9234267473220825,0.5261223912239075
41,1.5625000742147677e-05,0.5323593616485596,0.5134207606315613,0.9229079484939575,0.5266042947769165
